Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабенко,Мартин,Петрович,Чоловік,2006-04-16,Різноробочий,місто Голубівка,"парк Дальня, буд. 82, Малин, 69996",890-41-92,lgerus@example.com
Валенко,Гаврило,Богданович,Чоловік,1990-09-21,Пілот,селище Бережани,"площа Тульська, буд. 26 кв. 69, Сміла, 91293",+380 (46) 033-41-70,mykhailynatereshchuk@example.org
Адамчук,Сніжана,Юріївна,Жінка,1999-08-19,Адвокат,селище Курахове,"парк Байкал тупик, буд. 51 кв. 9, Світлодарськ, 64788",050-94-17,ushynkarenko@example.net
Дахно,Алевтин,Андрійович,Чоловік,1939-02-01,М'ясник,хутір Славутич,"парк Мазараті, буд. 497, Соснівка , 02868",045 012-97-47,fakymenko@example.net
Щорс,Амвросій,Юрійович,Чоловік,1996-02-12,Журналіст,селище Червоноград,"парк Курортний 6-й, буд. 6 кв. 9, Ямпіль, 71545",+380 (11) 688-08-74,anastasiia02@example.net
Бабак,Трохим,Андрійович,Чоловік,1993-08-26,Слідчий,село Новгород-Сіверський,"площа Центральний аеропорт, буд. 9, Одеса, 04483",260 20 69,vhavrylyshyn@example.net
Заруба,Камілла,Іванівна,Жінка,1974-07-20,Кінорежисер,хутір Костопіль,"шосе Михайлівська, буд. 11 кв. 344, Чернігів, 95569",077-46-84,violetta06@example.com
Дутка,Леопольд,Володимирович,Чоловік,2003-10-27,Модельєр,селище Буськ,"вулиця Асєєва Юрія, буд. 1, Мала Виска, 30922",009 312-97-12,lytvynhryhorii@example.com
Нестайко,Соломон,Володимирович,Чоловік,1982-11-07,Няня,хутір Тлумач,"провулок Чернігівська, буд. 27, Підгайці, 20420",948 88 34,sheremetbohdan@example.com
Засядько,Богуслава,Миколаївна,Жінка,1946-05-18,Адвокат,селище Довжанськ,"сквер Побратимів, буд. 693, Біла Церква, 87149",070 090 71 80,azarriabchenko@example.com
Лемешко,Борис,Юрійович,Чоловік,1951-11-20,Бухгалтер,село Кам'янка (Черкаська область),"набережна Садова 6-та, буд. 973, Шпола, 29740",608 13 45,liudmylaonyshchenko@example.net
Скорик,Охрім,Богданович,Чоловік,1973-11-24,Випробувач,хутір Яворів,"набережна Першотравневий 2-й, буд. 472, Перещепине, 45590",748-94-01,adadzyndra@example.com
Гайдамака,Єлисей,Андрійович,Чоловік,2006-05-26,Фізик,село Світловодськ,"провулок Ювілейний 1-й, буд. 28 кв. 7, Залізне, 68527",+380 77 350-35-10,serhiiiarosh@example.net
Єрмоленко,Дан,Петрович,Чоловік,1964-05-20,Електротехнік,село Рожище,"сквер Вчительської, 2-й, буд. 591 кв. 595, Мар'їнка, 18718",531 02 68,iaremadrozd@example.org
Аверченко,Франц,Сергійович,Чоловік,1964-05-21,Паблік рилейшнз,хутір Березань ,"площа Аграрна, буд. 86, Городенка, 33976",065 373 25 75,havriushenkosofiia@example.net
Бабій,Юстина,Богданівна,Жінка,1967-07-28,Електротехнік,хутір Залізне,"сквер Щіпний, буд. 7, Пологи , 23746",070 755-73-28,iukhymtiahnybok@example.net
Чорновіл,Маруся,Сергіївна,Жінка,1940-08-20,Бізнесмен,місто Монастирище,"проспект Ільфа і Петрова, буд. 448 кв. 882, Бучач, 90152",752 89 47,bohodarholyk@example.com
Бгиденко,Остап,Сергійович,Чоловік,1971-01-26,Петрограф,село Стрий,"шосе Крилова, буд. 809 кв. 844, Шепетівка, 51163",+380 (62) 079-71-06,sbabak@example.org
Сиротенко,Валентина,Володимирівна,Жінка,2000-06-19,Водій,місто Івано-Франківськ,"узвіз Аеропортівський 3-й, буд. 39 кв. 985, Вознесенськ, 12534",062 782 34 41,panteleimon20@example.net
Дрозденко,Лариса,Михайлівна,Жінка,1940-04-27,Педагог,селище Городня,"провулок Дальня, буд. 6 кв. 001, Новомосковськ, 87893",004 818-89-28,mariiavlokh@example.com
Штепа,Наталія,Іванівна,Жінка,1986-01-27,Няня,місто Славута,"парк Валіховський, буд. 4 кв. 0, Покров, 31965",706 15 61,marko65@example.net
Данчук,Леон,Андрійович,Чоловік,1958-09-22,Ювелір,селище Переяслав,"провулок 2-й Академічний тупик, буд. 17, Надвірна, 94015",+380 75 843 64 77,tdanko@example.com
Охримович,Максим,Іванович,Чоловік,1974-11-14,Дизайнер,хутір Червоноград,"проспект Софії Перовської, буд. 989, Сокаль, 39509",+380 14 464-98-28,havrylo78@example.org
Самойленко,Гліб,Олександрович,Чоловік,1990-02-18,Кушнір,місто Лутугине,"вулиця Ланжеронівська, буд. 9 кв. 749, Каховка, 03168",038 468 92 20,veniiamynaleksandrenko@example.org
Ткач,Ігор,Іванович,Чоловік,1947-03-12,Намотувальник,селище Первомайський ,"узвіз Партизанської Слави, буд. 3, Путивль, 27011",+380 (18) 356-41-72,konoplenkoielysaveta@example.com
Ковпак,Гліб,Володимирович,Чоловік,1957-06-08,Дизайнер,селище Калуш,"сквер Горіхова, буд. 93 кв. 4, Дубровиця, 95925",+380 77 217 34 03,xlytvyn@example.com
Христич,Семен,Юрійович,Чоловік,1992-03-04,Ветеринар,хутір Середина-Буда,"провулок Сумський, буд. 927, Свалява, 78438",073 506 58 98,vdovychenkosofiia@example.org
Шаповал,Орина,Михайлівна,Жінка,1951-11-07,Ювелір,хутір Ізюм,"вулиця Молодогвардійська, буд. 1 кв. 643, Соснівка , 86963",575 11 13,oleh40@example.com
Гаврилишин,Лілія,Сергіївна,Жінка,1946-04-23,Детектив,хутір Гайворон,"парк Гаванна, буд. 23 кв. 9, Обухів, 43688",+380 83 764-18-52,wieremenko@example.com
Перепелиця,Оксана,Олександрівна,Жінка,1977-12-12,Модель,село Глобине,"вулиця Промисловий, буд. 9 кв. 79, Лиман , 98764",006 640-39-59,iurchenkoruslan@example.org
Ященко,Аврелій,Андрійович,Чоловік,1974-11-04,Фольклорист,село Ровеньки,"площа Локомотивний 2-й, буд. 170, Джанкой, 38461",+380 (11) 037-58-77,hryhorii51@example.net
Гуцуляк,Олена,Петрівна,Жінка,1959-11-20,Геолог,селище Біляївка,"узвіз Астрономічний, буд. 45 кв. 8, Чортків, 09985",+380 08 885-47-83,datsiukstanislav@example.org
Андрейко,Леон,Миколайович,Чоловік,1985-12-08,Мірошник,місто Бахмач,"вулиця Садова 6-та, буд. 69 кв. 777, Алушта, 26951",+380 27 395 79 87,marusia98@example.com
Давимука,Марта,Петрівна,Жінка,1980-11-28,Ювелір,селище Заставна,"шосе Шишкіна, буд. 6, Гадяч, 48007",634 35 15,irvanetspanas@example.net
Ґереґа,Демид,Володимирович,Чоловік,1950-06-07,Журналіст,село Кролевець,"сквер Москвіна, буд. 6 кв. 5, Кременець, 48290",+380 22 030-76-57,larysa28@example.com
Барабаш,Марина,Сергіївна,Жінка,1984-05-12,Ботанік,селище Брянка,"парк Тимірязєва 3-й, буд. 185 кв. 8, Броди, 50507",+380 15 822 56 72,kviter@example.org
Жарко,Ольга,Юріївна,Жінка,1953-03-03,Медик,селище Біляївка,"шосе Космонавта Комарова, буд. 40 кв. 393, Славутич, 36206",+380 52 140 73 20,varvara86@example.net
Гузь,Теодор,Михайлович,Чоловік,1971-12-07,Хімік,хутір Макіївка,"набережна Академіка Філатова, буд. 799, Боярка, 03287",+380 03 161-67-06,liudmylaandriishyna@example.com
Товстуха,Геннадій,Михайлович,Чоловік,1988-12-02,Ді-джей,село Севастополь,"набережна Професора Каришковського, буд. 615, Нововолинськ, 46499",271 22 70,dvashchuk@example.com
